File X,File Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46
161,232,0.11135725,0.09220025,0.08307975000000001,0.07964725,0.07515625,0.07147099999999999,0.07718675000000001,0.11113825,0.187015,0.2488645,0.26702775,0.25926875,0.2117145,0.16710175,0.14928124999999998,0.134194,0.11244974999999999,0.1041835,0.09049675,0.07332675,0.060352499999999996,0.05795775,0.08793200000000001,0.2600835,0.4894675,0.67613975,0.7826315,0.82637825,0.84222175,0.8452230000000001,0.8455984999999999,0.84880725,0.8462224999999999,0.8458185,0.8458964999999999,0.84441525,0.84925025,0.8412972500000001,0.849318,0.8432005,0.8510862499999999,0.847919,0.850832,0.8507752499999999,0.8319555,0.828989
162,232,0.11593425,0.0956315,0.08498075,0.08115425000000001,0.07703549999999999,0.07362874999999999,0.07913775,0.113175,0.19413075000000002,0.25571375,0.2762295,0.26792150000000003,0.21822199999999997,0.17319025,0.15294325,0.13915824999999998,0.116767,0.10764974999999999,0.09363525,0.075632,0.0636025,0.060778250000000006,0.0912685,0.2679835,0.5013047500000001,0.6949489999999999,0.802535,0.84782975,0.8559349999999999,0.8617567500000001,0.86543325,0.86782525,0.866068,0.8686929999999999,0.8688312499999999,0.86991375,0.8689915,0.8671805,0.869928,0.871431,0.8647425,0.8700807500000001,0.86612775,0.87068475,0.8641375,0.8555027500000001
163,232,0.11732,0.0987985,0.09026025,0.08498575,0.07864475,0.0774115,0.08286925,0.11874675000000001,0.2000805,0.26364925,0.28531025,0.2761685,0.22739325,0.1807305,0.16089725,0.145344,0.12163449999999999,0.11252575,0.098352,0.07918525,0.066877,0.06301100000000001,0.09516525,0.27506749999999996,0.5167145,0.7114812500000001,0.82241475,0.86591975,0.8779222500000001,0.88146875,0.883892,0.88375125,0.88868525,0.88472175,0.88725025,0.88104675,0.8831410000000001,0.8829605,0.8874040000000001,0.8842317500000001,0.8841017499999999,0.8890404999999999,0.889084,0.885404,0.86950725,0.882043
164,232,0.11939825000000001,0.09945749999999999,0.08980475,0.082803,0.07829249999999999,0.0759255,0.08004625,0.11715524999999999,0.19914975000000001,0.26532500000000003,0.28766675,0.27789975,0.22860250000000001,0.17986449999999998,0.15985275,0.144659,0.12178575000000001,0.11186675,0.09711625,0.07900549999999999,0.06526074999999999,0.06265175,0.0949735,0.275343,0.51899875,0.715515,0.8313289999999999,0.8760995,0.88966375,0.898781,0.8967339999999999,0.900173,0.8982782500000001,0.89853775,0.8948747499999999,0.8933280000000001,0.89737775,0.8964767499999999,0.8994340000000001,0.8920549999999999,0.89902775,0.8936412499999999,0.8990505,0.8978065000000001,0.88097775,0.889287
165,232,0.11855674999999999,0.09804025000000001,0.09357950000000001,0.08607775000000001,0.08017724999999999,0.078132,0.084153,0.11883425,0.20034025,0.26551825,0.2853235,0.2788155,0.22729349999999998,0.1805565,0.15983225,0.14463425,0.12198575,0.11271975,0.099214,0.08077875000000001,0.0663295,0.06414075,0.09670575,0.27751499999999996,0.52329125,0.72466075,0.843067,0.89147825,0.90929425,0.9110385,0.9095887500000001,0.912281,0.9143552500000001,0.90989675,0.91377475,0.90692575,0.90900225,0.904674,0.909201,0.9108022499999999,0.9135125000000001,0.90610625,0.91267075,0.9132104999999999,0.8991975000000001,0.89370275
166,232,0.11973225,0.101477,0.09030099999999999,0.08612525,0.08362875,0.07885149999999999,0.08285524999999999,0.115591,0.192422,0.2572065,0.2754995,0.267659,0.2183615,0.17392775,0.153285,0.139696,0.11763499999999999,0.10886725,0.09591400000000001,0.07864725,0.06560125,0.06357475,0.094744,0.269621,0.51029475,0.7193805,0.84100325,0.89314625,0.91124525,0.91169775,0.91335525,0.919064,0.9147460000000001,0.9137095000000001,0.91482475,0.91131475,0.9116277500000001,0.9142202500000001,0.91383275,0.9125844999999999,0.9186147499999999,0.91511875,0.918156,0.91180525,0.90344625,0.8938780000000001
167,232,0.11939825000000001,0.09883725,0.0907955,0.085545,0.08061075,0.075528,0.08157149999999999,0.1121695,0.184972,0.247609,0.26688675,0.25863875000000003,0.21208900000000003,0.16749224999999998,0.14931925,0.1349275,0.114011,0.10524675,0.09346499999999999,0.07742725,0.06525425,0.0630405,0.09087624999999999,0.259384,0.5014587500000001,0.70988225,0.83694375,0.892681,0.9103932499999999,0.91200875,0.9160375000000001,0.91682325,0.9139437499999999,0.9126322499999999,0.9121715,0.9136127500000001,0.91048125,0.9135642500000001,0.9205470000000001,0.9097415,0.9152182499999999,0.9177582500000001,0.91549625,0.906598,0.895346,0.8980577499999999
168,232,0.11867325000000001,0.09569525,0.09022225,0.08605525,0.08051,0.0770115,0.08008625,0.10879025,0.176398,0.23607999999999998,0.2551815,0.24845224999999999,0.201654,0.16224675,0.14358875,0.131114,0.11054749999999999,0.10329174999999999,0.09156299999999999,0.07847599999999999,0.06670424999999999,0.0635935,0.09140300000000001,0.25037475000000003,0.48422225,0.69056325,0.81329675,0.863391,0.8845842500000001,0.890608,0.89748825,0.8945877499999999,0.89152625,0.89248975,0.892383,0.8910295,0.8888425,0.891083,0.895703,0.8919677500000001,0.8970567500000001,0.90178375,0.900667,0.8990035,0.88858775,0.8890115
169,232,0.12319649999999999,0.10472775000000001,0.09814275,0.08991275,0.08561724999999999,0.082703,0.08575825,0.1154715,0.18725224999999998,0.24729125,0.26420825000000003,0.25620774999999996,0.20964975,0.16679375000000002,0.14739325000000003,0.135392,0.11540375,0.10716350000000001,0.09589700000000001,0.08042524999999999,0.06925575,0.067517,0.09434825,0.25764725,0.49500875,0.7064684999999999,0.83012825,0.8862645,0.90369725,0.90811175,0.905265,0.9085004999999999,0.9127084999999999,0.9075055,0.9075420000000001,0.908011,0.9079977499999999,0.9072525,0.9071615000000001,0.9101444999999999,0.9066525,0.9070910000000001,0.90328475,0.91026425,0.898911,0.900672
170,232,0.12075299999999999,0.09801625,0.09357950000000001,0.08716875,0.08329625,0.079335,0.08412425,0.11678325,0.18587774999999998,0.24402574999999999,0.262237,0.2530745,0.209417,0.167633,0.1501645,0.13629625,0.11663625000000001,0.10921624999999999,0.09750325,0.081319,0.06925175,0.06583249999999999,0.096306,0.2574435,0.49063850000000003,0.6857245,0.8033035,0.8512605,0.868325,0.8722449999999999,0.8768532499999999,0.87583375,0.876289,0.870456,0.8704047500000001,0.87159075,0.8771525,0.8802169999999999,0.87227075,0.8807045000000001,0.878285,0.87431775,0.8727914999999999,0.86910275,0.8632125,0.8592982499999999
